SMILES,Probability_Nuclear Response_NR-AR,Probability_Nuclear Response_NR-AR-LBD,Probability_Nuclear Response_NR-AhR,Probability_Nuclear Response_NR-Aromatase,Probability_Nuclear Response_NR-ER,Probability_Nuclear Response_NR-ER-LBD,Probability_Nuclear Response_NR-PPAR-gamma,Probability_Nuclear Response_NR-GR,Probability_Nuclear Response_NR-TR,Probability_Stress Response_SR-ARE,Probability_Stress Response_SR-ATAD5,Probability_Stress Response_SR-HSE,Probability_Stress Response_SR-MMP,Probability_Stress Response_SR-p53,Probability_Genomic_AMES_Mutagenesis,Probability_Genomic_Carcinogenesis,Probability_Genomic_Micronucleus,PredictionsDose Response_Maximum_Tolerated_Dose,Probability_Organic_Skin_Sensitisation,Probability_Organic_hERG_I_Inhibitor,Probability_Organic_hERG_II_Inhibitor,Probability_Organic_Liver_Injury_I,Probability_Organic_Liver_Injury_II,Probability_Organic_Eye_Irritation,Probability_Organic_Eye_Corrosion,Probability_Organic_Respiratory_Disease
CCC(=O)[C@H](C)[C@H]([C@@H](C)C(=O)CC/C(=C\CC(/C(=C/C1=CSC(=N1)C)/C)O)/C)O,0.03,0.0,0.01,0.05,0.08,0.01,0.01,0.17,0.09,0.19,0.03,0.07,0.41,0.05,0.25,0.05,0.5,-0.54,0.49,0.22,0.29,0.09,0.23,0.03,0.0,0.7
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.04,0.01,0.0,0.07,0.12,0.0,0.02,0.2,0.22,0.44,0.01,0.3,0.15,0.05,0.24,0.12,0.51,0.64,0.54,0.06,0.2,0.46,0.24,0.02,0.0,0.8
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.04,0.01,0.0,0.1,0.11,0.01,0.01,0.21,0.19,0.45,0.01,0.32,0.3,0.08,0.22,0.12,0.51,0.54,0.55,0.09,0.19,0.51,0.21,0.03,0.0,0.74
C[C@H]1C/C=C\C(=C/CC(OC(=O)C[C@@H](C(C(=O)C[C@H]1O)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)\C,0.02,0.03,0.0,0.19,0.12,0.02,0.01,0.38,0.15,0.29,0.05,0.09,0.34,0.09,0.36,0.05,0.5,0.03,0.44,0.23,0.27,0.14,0.14,0.01,0.0,0.87
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.03,0.02,0.0,0.17,0.12,0.0,0.01,0.21,0.19,0.46,0.01,0.32,0.2,0.08,0.21,0.12,0.51,0.65,0.58,0.07,0.18,0.51,0.26,0.02,0.0,0.71
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C(\C)/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.04,0.01,0.0,0.05,0.12,0.01,0.02,0.23,0.25,0.45,0.03,0.3,0.35,0.05,0.27,0.12,0.51,0.24,0.51,0.11,0.23,0.44,0.27,0.03,0.0,0.74
C[C@@H]1[C@@H]([C@H](C(=O)C([C@H](CC(=O)OC(C/C=C(\C=C/C1=O)/C)/C(=C/C2=CSC(=N2)C)/C)O)(C)C)C)O,0.01,0.04,0.0,0.24,0.11,0.03,0.01,0.4,0.15,0.34,0.05,0.07,0.3,0.16,0.4,0.0,0.5,-0.14,0.41,0.2,0.3,0.1,0.14,0.0,0.0,0.89
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.04,0.01,0.0,0.09,0.11,0.01,0.01,0.21,0.18,0.45,0.01,0.27,0.21,0.08,0.21,0.12,0.51,0.54,0.56,0.09,0.19,0.51,0.2,0.03,0.0,0.77
CCCCCCCCCC(=O)C=C(C)C,0.01,0.0,0.0,0.0,0.07,0.0,0.01,0.07,0.0,0.01,0.0,0.04,0.4,0.01,0.05,0.1,0.46,0.52,0.93,0.19,0.11,0.07,0.52,0.99,0.87,0.13
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.04,0.0,0.0,0.09,0.12,0.01,0.01,0.22,0.23,0.46,0.01,0.32,0.37,0.08,0.21,0.12,0.51,0.54,0.55,0.09,0.19,0.51,0.21,0.03,0.0,0.73
